linea,estacion,2012,2011,2010,2009,2008,2007,2006,2005,latitude,longitude
1,Pantitlan,4513549,18057772,16457920,17946428,20873585,21821590,24431850,24440345,19.4163,-99.0747
1,Zaragoza,5144223,19435293,18756335,15572745,17606274,18686300,23733533,24213580,19.4117,-99.0821
1,Gomez Farias,3665025,12344521,14881486,13964126,13176779,11058342,20650953,22208291,19.4165,-99.0904
1,B. Pto Aereo,3611591,10614000,10596640,10736639,10812491,9933238,20005507,21393337,19.4196,-99.0963
1,Balbuena,1822229,5331378,4943778,4331447,5087685,4963542,19577888,21220528,19.4231,-99.1021
1,Moctezuma,3403708,9085256,8876932,10062251,10412257,9154431,16703539,16972961,19.4271,-99.1104
1,San Lazaro,2691814,9867882,9676879,9299011,9811843,10281417,13105606,13146801,19.4302,-99.1143
1,Candelaria,1981445,8019525,8424654,7004141,7023198,7330418,13101928,12712077,19.429,-99.1209
1,Merced,3704477,19979930,18725254,17305695,20088342,16471723,12257624,11615987,19.4253,-99.1245
1,Pino Suarez,2486272,12439301,11499489,11804067,11124996,10966290,10727516,11376227,19.4258,-99.1331
1,Isabel la Catolica,2249251,7997575,7379187,6953897,7378588,7045139,10566341,10801944,19.4262,-99.1374
1,Salto del Agua,2348003,7572089,7815475,7888547,8319228,7561959,10501058,10647311,19.4269,-99.1432
1,Balderas,1830157,7753099,6278543,6602109,7819348,6483650,8203406,9630153,19.427,-99.149
1,Cuahutemoc,2028798,7256811,6938493,5593822,7597185,5933160,8202073,8692432,19.4257,-99.1548
1,Insurgentes,4657527,17577861,17819154,19154290,19384247,16952676,8186949,8445596,19.4236,-99.163
1,Sevilla,2758042,10034938,8809911,9179318,10740635,9489278,8078344,8050748,19.4218,-99.1707
1,Chapultepec,4744073,20092272,20278248,20901291,23486483,21532996,7757523,7853279,19.4207,-99.1762
1,Juanacatlan,1485106,4317924,2855671,2350446,3505184,4158444,7384934,7664974,19.4125,-99.1821
1,Tacubaya,3840762,11723325,12002758,11627209,11244964,10686017,5460829,5465663,19.403,-99.1869
1,Observatorio,6106000,25616672,22120758,23789380,22298319,19995285,4392434,4183293,19.3982,-99.2004
2,Cuatro Caminos,11130567,43502529,44425920,41972575,44032095,37357117,36558198,39423217,19.4595,-99.2159
2,Panteones,1682256,3473490,2410757,3400721,4020815,3172130,28543137,31796328,19.4588,-99.2033
2,Tacuba,3437447,13303010,12558303,12951355,12832705,12851993,26958418,29855287,19.4595,-99.1889
2,Cuitlahuac,2310986,7429771,6290034,6946743,7372862,7208720,14035706,14295114,19.4575,-99.1819
2,Popotla,1206968,2594473,2558643,3404600,3250646,3606783,13512071,14204199,19.4526,-99.1751
2,Colegio Militar,1639637,6040218,5471145,5300249,5666260,4966656,12961672,13016903,19.449,-99.1716
2,Normal,3420486,13559980,12923602,12208794,9403252,11464149,11450379,11453662,19.4448,-99.1676
2,San Cosme,2626593,7970119,7455453,8228298,9331011,9549444,11169363,10835202,19.442,-99.161
2,Revolucion,2939447,12067575,11448592,11159689,10734127,9543782,9619053,10250779,19.4391,-99.1541
2,Hidalgo,3169863,12419244,11322951,10132079,12315610,13182147,9358131,10184161,19.4376,-99.1475
2,Bellas Artes,2245590,11387261,8182062,8186015,8836654,8006705,9328196,9407011,19.4364,-99.1419
2,Allende,3276284,13183089,11269920,11355799,12914390,11768042,8962004,9126329,19.4355,-99.1375
2,Zocalo,4451968,26758754,29723752,28747677,30430126,23055205,7640820,8533415,19.433,-99.1323
2,Pino Suarez,2176752,9208012,5114337,5729033,8432384,8542704,7611038,8012605,19.4258,-99.1331
2,San Antonio Abad,2553586,8623188,7418514,8216104,9087421,5613740,7531192,7894308,19.4185,-99.1342
2,Chabacano,2745734,8251565,9162074,8106948,9143979,8838765,7467700,7738386,19.409,-99.1357
2,Viaducto,2416582,8204925,7618798,8325546,8932544,6621911,7333647,7666593,19.4008,-99.137
2,Xola,2572631,6289562,6151510,6937050,6152377,5721813,7169682,7461672,19.3949,-99.1379
2,Villa de Cortez,2039422,7103912,5667042,6794478,7143693,5244937,6754056,7438746,19.3874,-99.139
2,Nativitas,2043910,7581387,6492514,7619055,8293345,6786687,6401040,7375394,19.3794,-99.1403
2,Portales,2239542,7521986,5598225,5953337,7805091,5847425,5319823,6397533,19.37,-99.1416
2,Ermita,2393606,7017172,6724161,8011340,8070769,6886278,4817674,5104708,19.3618,-99.143
2,General Anaya,3151053,10052998,9261703,9070141,10095033,9394564,3727870,3720661,19.3533,-99.145
2,Tasquena,10034507,33465887,29703372,27924288,28331069,25152223,3319906,3343581,19.3438,-99.1419
3,Indios Verdes,10391215,42270846,43170596,46356251,46587583,43777981,43752999,46329629,19.4952,-99.1195
3,Deportivo 18 de Marzo,4066830,14960626,14942472,14167088,13546711,13176965,24526882,,19.485,-99.1255
3,Potrero,2257863,7817183,7642002,7851324,7867127,7673599,16082460,7696226,19.477,-99.1322
3,La Raza,3118154,11718866,13789229,14795131,14511776,15491474,14539339,,19.4686,-99.139
3,Tlatelolco,2275467,8364436,8262432,8537221,8288766,7938121,13462256,8414923,19.4547,-99.1429
3,Guerrero,1569108,4808055,4839159,4768035,4563660,4779175,13050813,5074577,19.4446,-99.1452
3,Hidalgo,1712417,7445201,7733000,7637014,7919498,7547584,10506614,9982233,19.4376,-99.1475
3,Juarez,1797642,7320835,7056809,6659057,6822481,6514437,9182339,#N/A,19.4333,-99.1477
3,Balderas,1043622,2647480,2855827,2579361,2611811,2435831,8354196,2878844,19.427,-99.149
