linea,estacion,afluencia
1,Pantitlán,4513549
1,Zaragoza,5144223
1,Gómez Farías,3665025
1,Blvd. Puerto Aéreo,3611591
1,Balbuena,1822229
1,Moctezuma,3403708
1,San Lázaro,2691814
1,Candelaria,1981445
1,Merced,3704477
1,Pino Suárez,2486272
1,Isabel la Católica,2249251
1,Salto del Agua,2348003
1,Balderas,1830157
1,Cuauhtémoc,2028798
1,Insurgentes,4657527
1,Sevilla,2758042
1,Chapultepec,4744073
1,Juanacatlán,1485106
1,Tacubaya,3840762
1,Observatorio,6106000
2,Cuatro Caminos,11130567
2,Panteones,1682256
2,Tacuba,3437447
2,Cuitláhuac,2310986
2,Popotla,1206968
2,Colegio Militar,1639637
2,Normal,3420486
2,San Cosme,2626593
2,Revolución,2939447
2,Hidalgo,3169863
2,Bellas Artes,2245590
2,Allende,3276284
2,Zócalo,4451968
2,Pino Suárez,2176752
2,San Antonio Abad,2553586
2,Chabacano,2745734
2,Viaducto,2416582
2,Xola,2572631
2,Villa de Cortés,2039422
2,Nativitas,2043910
2,Portales,2239542
2,Ermita,2393606
2,General Anaya,3151053
2,Tasqueña,10034507
3,Indios Verdes,10391215
3,Deportivo 18 de Marzo,4066830
3,Potrero,2257863
3,La Raza,3118154
3,Tlatelolco,2275467
3,Guerrero,1569108
3,Hidalgo,1712417
3,Juárez,1797642
3,Balderas,1043622
3,Niños Héroes,1793223
3,Hospital General,2083651
3,Centro Médico,1913868
3,Etiopía,2520373
3,Eugenia,1873596
3,División del Norte,1952863
3,Zapata,3188930
3,Coyoacán,2138269
3,Viveros,2382528
3,Miguel A. de Quevedo,2663228
3,Copilco,3610403
3,Universidad,6689154
4,Santa Anita,397231
4,Jamaica,643037
4,Fray Servando,661724
4,Candelaria,600778
4,Morelos,734432
4,Canal del Norte,758549
4,Consulado,460434
4,Bondojito,646002
4,Talismán,598777
4,Martín Carrera,1728740
5,Politécnico,3082243
5,Inst. del Petróleo,574006
5,Autobuses del Norte,2168032
5,La Raza,1086204
5,Misterios,820234
5,Valle Gómez,422554
5,Consulado,510624
5,Eduardo Molina,751266
5,Aragón,743106
5,Oceanía,824946
5,Terminal Aérea,1362843
5,Hangares,464915
5,Pantitlán,5526556
6,El Rosario,3021313
6,Tezozomoc,681400
6,Azcapotzalco,794371
6,Ferrería,1934201
6,Norte 45,599611
6,Vallejo,616279
6,Inst. del Petróleo,408651
6,Lindavista,1726517
6,Deportivo 18 de Marzo,309599
6,La Villa-Basílica,1300219
6,Martín Carrera,3032732
7,El Rosario,2406571
7,Aquiles Serdán,1731973
7,Camarones,1410978
7,Refinería,906310
7,Tacuba,779320
7,San Joaquín,1665934
7,Polanco,2822546
7,Auditorio,2636104
7,Constituyentes,860690
7,Tacubaya,645632
7,San Pedro de los Pinos,1036050
7,San Antonio,1391536
7,Mixcoac,2275662
7,Barranca del Muerto,3315253
8,Garibaldi,2971267
8,Bellas Artes,1962989
8,San Juan de Letrán,2213121
8,Salto del Agua,1465536
8,Doctores,1143549
8,Obrera,1573480
8,Chabacano,433141
8,La Viga,727417
8,Santa Anita,769690
8,Coyuya,2040572
8,Iztacalco,1798957
8,Apatlaco,1252559
8,Aculco,1022484
8,Escuadrón 201,2374004
8,Atlalilco,1693472
8,Iztapalapa,1082500
8,Cerro de la Estrella,1519048
8,U A M I,2779975
8,Constitución de 1917,7629848
9,Pantitlán,6006018
9,Puebla,2982184
9,Ciudad Deportiva,1217613
9,Velódromo,913350
9,Mixiuhca,2040303
9,Jamaica,1151654
9,Chabacano,1091443
9,Lázaro Cárdenas,1378481
9,Centro Médico,1234522
9,Chilpancingo,3378462
9,Patriotismo,1803552
9,Tacubaya,5405087
A,Pantitlán,8172580
A,Agrícola Oriental,962697
A,Canal de San Juan,1267196
A,Tepalcates,1626687
A,Guelatao,1948175
A,Peñón Viejo,1482157
A,Acatitla,1582218
A,Santa Marta,2996567
A,Los Reyes,2201667
A,La Paz,3218239
B,Buenavista,4665497
B,Guerrero,535198
B,Garibaldi,712790
B,Lagunilla,2087435
B,Tepito,2040358
B,Morelos,504670
B,San Lázaro,1517021
B,Ricardo Flores Magón,622017
B,Romero Rubio,922475
B,Oceanía,1054126
B,Deportivo Oceanía,1705178
B,Bosque de Aragón,614365
B,Villa de Aragón,1318330
B,Nezahualcóyotl,2478708
B,Impulsora,2741639
B,Río de los Remedios,1865823
B,Muzquiz,3403972
B,Tecnológico,2833943
B,Olímpica,1867645
B,Plaza Aragón,1974751
B,Ciudad Azteca,5780833
